EPOCH                                       BR                     BT                     BN
dd-mm-yyyy hh:mm:ss.ms                      nT                     nT                     nT
26-06-2004 02:36:00.000              0.0680000               0.424000            -0.00500000
26-06-2004 02:37:00.000              0.0900000               0.429000            -0.00200000
26-06-2004 02:38:00.000              0.0820000               0.430000             -0.0570000
26-06-2004 02:39:00.000              0.0770000               0.419000             -0.0780000
26-06-2004 02:40:00.000              0.0820000               0.418000             -0.0870000
26-06-2004 02:41:00.000              0.0810000               0.417000              -0.101000
26-06-2004 02:42:00.000              0.0650000               0.434000             -0.0840000
26-06-2004 02:43:00.000              0.0560000               0.432000             -0.0210000
26-06-2004 02:44:00.000              0.0480000               0.431000            -0.00100000
26-06-2004 02:45:00.000              0.0290000               0.441000            -0.00700000
26-06-2004 02:46:00.000              0.0230000               0.437000            -0.00700000
26-06-2004 02:47:00.000              0.0220000               0.437000            -0.00400000
26-06-2004 02:48:00.000              0.0150000               0.435000             0.00100000
26-06-2004 02:49:00.000              0.0130000               0.447000              0.0130000
26-06-2004 02:50:00.000             0.00300000               0.436000              0.0390000
26-06-2004 02:51:00.000              0.0120000               0.436000              0.0580000
26-06-2004 02:52:00.000              0.0180000               0.440000              0.0220000
26-06-2004 02:53:00.000              0.0480000               0.432000             -0.0500000
26-06-2004 02:54:00.000              0.0800000               0.390000              -0.131000
26-06-2004 02:55:00.000             -0.0710000               0.428000              0.0150000
26-06-2004 02:56:00.000             -0.0850000               0.436000             -0.0130000
26-06-2004 02:57:00.000             -0.0760000               0.432000             -0.0220000
26-06-2004 02:58:00.000             -0.0390000               0.401000             -0.0710000
26-06-2004 02:59:00.000             -0.0510000               0.399000             -0.0790000
26-06-2004 03:00:00.000             -0.0960000               0.408000             -0.0760000
26-06-2004 03:01:00.000              -0.155000               0.394000             -0.0310000
26-06-2004 03:02:00.000              -0.178000               0.394000             -0.0560000
26-06-2004 03:03:00.000              -0.169000               0.390000              -0.127000
26-06-2004 03:04:00.000              -0.170000               0.389000              -0.143000
26-06-2004 03:05:00.000              -0.174000               0.384000              -0.176000
26-06-2004 03:06:00.000              -0.169000               0.376000              -0.179000
26-06-2004 03:07:00.000              -0.106000               0.378000              -0.227000
26-06-2004 03:08:00.000             -0.0580000               0.359000              -0.242000
26-06-2004 03:09:00.000             -0.0590000               0.348000              -0.243000
26-06-2004 03:10:00.000             -0.0510000               0.353000              -0.239000
26-06-2004 03:11:00.000             -0.0430000               0.349000              -0.245000
26-06-2004 03:12:00.000             -0.0250000               0.353000              -0.230000
26-06-2004 03:13:00.000             -0.0240000               0.343000              -0.250000
26-06-2004 03:14:00.000             -0.0560000               0.336000              -0.263000
26-06-2004 03:15:00.000             -0.0970000               0.316000              -0.263000
26-06-2004 03:16:00.000             -0.0770000               0.312000              -0.265000
26-06-2004 03:17:00.000             -0.0360000               0.317000              -0.251000
26-06-2004 03:18:00.000             -0.0280000               0.314000              -0.253000
26-06-2004 03:19:00.000             -0.0260000               0.317000              -0.246000
26-06-2004 03:20:00.000             -0.0240000               0.319000              -0.236000
26-06-2004 03:21:00.000             -0.0130000               0.342000              -0.209000
26-06-2004 03:22:00.000             -0.0150000               0.336000              -0.214000
26-06-2004 03:23:00.000                0.00000               0.324000              -0.236000
26-06-2004 03:24:00.000              0.0100000               0.311000              -0.245000
26-06-2004 03:25:00.000              0.0340000               0.321000              -0.245000
26-06-2004 03:26:00.000              0.0200000               0.314000              -0.249000
26-06-2004 03:27:00.000              0.0200000               0.304000              -0.260000
26-06-2004 03:28:00.000              0.0220000               0.306000              -0.258000
26-06-2004 03:29:00.000              0.0180000               0.315000              -0.257000
26-06-2004 03:30:00.000              0.0160000               0.304000              -0.263000
26-06-2004 03:31:00.000             0.00700000               0.292000              -0.266000
26-06-2004 03:32:00.000              0.0170000               0.302000              -0.267000
26-06-2004 03:33:00.000              0.0170000               0.303000              -0.264000
26-06-2004 03:34:00.000             0.00900000               0.306000              -0.264000
26-06-2004 03:35:00.000             0.00500000               0.310000              -0.261000
26-06-2004 03:36:00.000             0.00100000               0.299000              -0.274000
26-06-2004 03:37:00.000              0.0220000               0.297000              -0.267000
26-06-2004 03:38:00.000              0.0250000               0.291000              -0.273000
26-06-2004 03:39:00.000              0.0330000               0.291000              -0.276000
26-06-2004 03:40:00.000              0.0330000               0.284000              -0.274000
26-06-2004 03:41:00.000              0.0200000               0.286000              -0.277000
26-06-2004 03:42:00.000             0.00100000               0.270000              -0.289000
26-06-2004 03:43:00.000              0.0190000               0.280000              -0.295000
26-06-2004 03:44:00.000              0.0210000               0.242000              -0.313000
26-06-2004 03:45:00.000             0.00400000               0.235000              -0.307000
26-06-2004 03:46:00.000             0.00800000               0.242000              -0.307000
26-06-2004 03:47:00.000            -0.00400000               0.227000              -0.321000
26-06-2004 03:48:00.000            -0.00300000               0.249000              -0.307000
26-06-2004 03:49:00.000              0.0260000               0.209000              -0.329000
26-06-2004 03:50:00.000              0.0300000               0.232000              -0.333000
26-06-2004 03:51:00.000              0.0340000               0.329000              -0.210000
26-06-2004 03:52:00.000              0.0270000               0.356000              -0.182000
26-06-2004 03:53:00.000            -0.00200000               0.355000              -0.195000
26-06-2004 03:54:00.000              0.0140000               0.353000              -0.190000
26-06-2004 03:55:00.000              0.0260000               0.355000              -0.175000
26-06-2004 03:56:00.000              0.0190000               0.355000              -0.165000
26-06-2004 03:57:00.000              0.0230000               0.378000              -0.157000
26-06-2004 03:58:00.000              0.0250000               0.377000              -0.145000
26-06-2004 03:59:00.000              0.0400000               0.372000              -0.141000
26-06-2004 04:00:00.000              0.0320000               0.361000              -0.160000
26-06-2004 04:01:00.000              0.0350000               0.379000              -0.147000
26-06-2004 04:02:00.000              0.0420000               0.371000              -0.137000
26-06-2004 04:03:00.000              0.0530000               0.375000              -0.117000
26-06-2004 04:04:00.000              0.0530000               0.395000             -0.0820000
26-06-2004 04:05:00.000              0.0700000               0.401000             -0.0450000
26-06-2004 04:06:00.000              0.0710000               0.378000             -0.0820000
26-06-2004 04:07:00.000              0.0710000               0.382000             -0.0510000
26-06-2004 04:08:00.000              0.0640000               0.399000             -0.0140000
26-06-2004 04:09:00.000              0.0480000               0.384000              0.0680000
26-06-2004 04:10:00.000              0.0300000               0.381000               0.104000
26-06-2004 04:11:00.000              0.0390000               0.371000               0.162000
26-06-2004 04:12:00.000              0.0550000               0.358000               0.180000
26-06-2004 04:13:00.000              0.0830000               0.371000              0.0850000
26-06-2004 04:14:00.000              0.0430000               0.403000             -0.0520000
26-06-2004 04:15:00.000              0.0340000               0.406000             -0.0870000
26-06-2004 04:16:00.000              0.0300000               0.400000              -0.107000
26-06-2004 04:17:00.000              0.0630000               0.393000             -0.0300000
26-06-2004 04:18:00.000              0.0700000               0.402000              0.0480000
26-06-2004 04:19:00.000               0.100000               0.417000               0.136000
26-06-2004 04:20:00.000              0.0910000               0.426000              0.0750000
26-06-2004 04:21:00.000              0.0840000               0.423000              0.0780000
26-06-2004 04:22:00.000              0.0710000               0.427000              0.0770000
26-06-2004 04:23:00.000              0.0820000               0.432000              0.0740000
26-06-2004 04:24:00.000              0.0820000               0.418000              0.0790000
26-06-2004 04:25:00.000              0.0670000               0.415000            -0.00700000
26-06-2004 04:26:00.000              0.0440000               0.393000              -0.120000
26-06-2004 04:27:00.000              0.0270000               0.364000              -0.173000
26-06-2004 04:28:00.000              0.0670000               0.396000             -0.0480000
26-06-2004 04:29:00.000              0.0690000               0.411000              0.0700000
26-06-2004 04:30:00.000              0.0660000               0.416000              0.0950000
26-06-2004 04:31:00.000              0.0750000               0.398000               0.114000
26-06-2004 04:32:00.000              0.0750000               0.391000               0.107000
26-06-2004 04:33:00.000              0.0620000               0.393000               0.138000
26-06-2004 04:34:00.000              0.0580000               0.391000               0.134000
26-06-2004 04:35:00.000              0.0680000               0.385000               0.137000
26-06-2004 04:36:00.000              0.0490000               0.399000               0.105000
26-06-2004 04:37:00.000              0.0700000               0.402000              0.0480000
26-06-2004 04:38:00.000              0.0720000               0.389000             -0.0120000
26-06-2004 04:39:00.000              0.0680000               0.372000             -0.0830000
26-06-2004 04:40:00.000              0.0580000               0.366000              -0.104000
26-06-2004 04:41:00.000              0.0600000               0.363000             -0.0840000
26-06-2004 04:42:00.000              0.0660000               0.352000             -0.0820000
26-06-2004 04:43:00.000              0.0600000               0.363000             -0.0820000
26-06-2004 04:44:00.000              0.0650000               0.375000             -0.0740000
26-06-2004 04:45:00.000              0.0610000               0.356000             -0.0820000
26-06-2004 04:46:00.000              0.0530000               0.359000             -0.0830000
26-06-2004 04:47:00.000              0.0660000               0.359000             -0.0770000
26-06-2004 04:48:00.000              0.0680000               0.365000             -0.0860000
26-06-2004 04:49:00.000              0.0520000               0.358000              -0.109000
26-06-2004 04:50:00.000              0.0430000               0.356000              -0.114000
26-06-2004 04:51:00.000              0.0420000               0.369000              -0.117000
26-06-2004 04:52:00.000              0.0310000               0.370000              -0.134000
26-06-2004 04:53:00.000              0.0320000               0.366000              -0.113000
26-06-2004 04:54:00.000              0.0390000               0.365000             -0.0960000
26-06-2004 04:55:00.000              0.0430000               0.363000              -0.147000
26-06-2004 04:56:00.000              0.0380000               0.354000              -0.145000
26-06-2004 04:57:00.000              0.0380000               0.350000              -0.145000
26-06-2004 04:58:00.000              0.0250000               0.357000              -0.137000
26-06-2004 04:59:00.000              0.0260000               0.358000              -0.147000
26-06-2004 05:00:00.000              0.0390000               0.356000              -0.152000
26-06-2004 05:01:00.000              0.0690000               0.350000              -0.158000
26-06-2004 05:02:00.000              0.0670000               0.370000              -0.159000
26-06-2004 05:03:00.000              0.0460000               0.366000              -0.158000
26-06-2004 05:04:00.000              0.0330000               0.360000              -0.162000
26-06-2004 05:05:00.000              0.0530000               0.370000              -0.137000
26-06-2004 05:06:00.000              0.0500000               0.380000              -0.148000
26-06-2004 05:07:00.000              0.0480000               0.376000              -0.145000
26-06-2004 05:08:00.000              0.0420000               0.373000              -0.151000
26-06-2004 05:09:00.000              0.0450000               0.372000              -0.154000
26-06-2004 05:10:00.000              0.0460000               0.374000              -0.143000
26-06-2004 05:11:00.000              0.0470000               0.371000              -0.149000
26-06-2004 05:12:00.000              0.0430000               0.378000              -0.139000
26-06-2004 05:13:00.000              0.0480000               0.386000              -0.122000
26-06-2004 05:14:00.000              0.0480000               0.378000              -0.126000
26-06-2004 05:15:00.000              0.0400000               0.381000              -0.126000
26-06-2004 05:16:00.000              0.0430000               0.381000              -0.132000
26-06-2004 05:17:00.000              0.0480000               0.390000              -0.125000
26-06-2004 05:18:00.000              0.0480000               0.378000              -0.128000
26-06-2004 05:19:00.000              0.0530000               0.379000              -0.126000
26-06-2004 05:20:00.000              0.0580000               0.379000              -0.122000
26-06-2004 05:21:00.000              0.0380000               0.369000              -0.140000
26-06-2004 05:22:00.000              0.0380000               0.356000              -0.138000
26-06-2004 05:23:00.000              0.0480000               0.350000              -0.128000
26-06-2004 05:24:00.000              0.0360000               0.353000              -0.138000
26-06-2004 05:25:00.000              0.0370000               0.345000              -0.133000
26-06-2004 05:26:00.000              0.0410000               0.350000              -0.128000
26-06-2004 05:27:00.000              0.0460000               0.351000              -0.124000
26-06-2004 05:28:00.000              0.0540000               0.338000              -0.118000
26-06-2004 05:29:00.000              0.0350000               0.329000              -0.145000
26-06-2004 05:30:00.000              0.0510000               0.333000              -0.141000
26-06-2004 05:31:00.000              0.0540000               0.349000              -0.131000
26-06-2004 05:32:00.000              0.0480000               0.333000              -0.130000
26-06-2004 05:33:00.000              0.0430000               0.335000              -0.132000
26-06-2004 05:34:00.000              0.0530000               0.324000              -0.134000
26-06-2004 05:35:00.000              0.0670000               0.329000              -0.134000
26-06-2004 05:36:00.000              0.0650000               0.318000              -0.136000
26-06-2004 05:37:00.000              0.0590000               0.322000              -0.145000
26-06-2004 05:38:00.000              0.0560000               0.326000              -0.132000
26-06-2004 05:39:00.000              0.0490000               0.324000              -0.116000
26-06-2004 05:40:00.000              0.0550000               0.310000             -0.0850000
26-06-2004 05:41:00.000              0.0560000               0.320000             -0.0700000
26-06-2004 05:42:00.000              0.0460000               0.322000             -0.0890000
26-06-2004 05:43:00.000              0.0580000               0.309000             -0.0950000
26-06-2004 05:44:00.000              0.0600000               0.308000              -0.110000
26-06-2004 05:45:00.000              0.0620000               0.310000              -0.116000
26-06-2004 05:46:00.000              0.0730000               0.317000             -0.0980000
26-06-2004 05:47:00.000              0.0720000               0.299000              -0.141000
26-06-2004 05:48:00.000              0.0700000               0.298000              -0.162000
26-06-2004 05:49:00.000              0.0630000               0.309000              -0.188000
